funcName,args,coverage,error
Api.pauseDag,"[""\""XJK1ROA\"""", ""false""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""isApiParamsSet"", ""pauseDag"", ""encode"", ""logToOutput"", ""showWarningMessage"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request"", ""DagTreeView"", ""refresh"", ""loadDags"", ""getImportErrors"", ""setFilterMessage"", ""getBoolenSign"", ""loadState"", ""DagTreeDataProvider"", ""__webpack_require__"", ""activate""]}",
Api.getDagInfo,"[""\""5mB4JIw8U2U5K\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagInfo"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getSourceCode,"[""\""8l0WzAxKdI1jayRqXg3Z\"""", ""\""mFqN\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getSourceCode"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagRun,"[""\""eHwpF5s\"""", ""\""ayiXYPyUh5X8rn\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagRun"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagRunHistory,"[""\""YFQOuoDmNC\"""", ""796""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagRunHistory"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagTasks,"[""\""tCEX\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagTasks"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getTaskInstances,"[""\""jesViBUcGlVhkCPQWgp\"""", ""\""x0nlI6vl\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getTaskInstances"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagList,[],"{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagList"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getTaskInstances,"[""\""1SNhqQ3gyQXI4OcH99U\"""", ""\""HweB9XU7cZ8\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getTaskInstances"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.cancelDagRun,"[""\""vPaW9mz3wl6NBZkMpG\"""", ""\""Moun8Df6Y\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""cancelDagRun"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getLastDagRunLog,"[""\""5s2EhQnwMLodXO9bV\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getLastDagRunLog"", ""encode"", ""logToOutput"", ""showInfoMessage"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagTasks,"[""\""EYd1IZ1bVaIuepvBKJwN\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagTasks"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagRunHistory,"[""\""HTezf0\"""", ""954""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagRunHistory"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.triggerDag,"[""\""pVR1LHxS2l9\"""", ""\""zBxc\"""", ""\""OFUs1\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""isApiParamsSet"", ""triggerDag"", ""logToOutput"", ""showWarningMessage""]}",
Api.getImportErrors,[],"{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getImportErrors"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.pauseDag,"[""\""M4ztyH0H9ncPa1JT4F\"""", ""false""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""pauseDag"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagTasks,"[""\""mKDLj1YOoROQj\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagTasks"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getTaskInstanceLog,"[""\""hi4JI5lTnXdDYkPT\"""", ""\""mOWRbPgJzpB3eS\"""", ""\""MZOXQjY0nQwoAj51Ca\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getTaskInstanceLog"", ""encode"", ""logToOutput"", ""showInfoMessage"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getTaskInstanceLog,"[""\""dIx4xV5UVNCNWsIB\"""", ""\""Z3jBVqg7w3yKS4leoh\"""", ""\""WyOIfvUIzQm\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getTaskInstanceLog"", ""encode"", ""logToOutput"", ""showInfoMessage"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.cancelDagRun,"[""\""rgMQaoPqvaKGYTy\"""", ""\""E5la8c\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""cancelDagRun"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getHeaders,[],"{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getHeaders"", ""encode"", ""logToOutput""]}",
Api.pauseDag,"[""\""VrJI9XhOBSz6M\"""", ""false""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""pauseDag"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getSourceCode,"[""\""sOOaEpLTuqK0g3V\"""", ""\""hVHjy\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getSourceCode"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.cancelDagRun,"[""\""W5ESu\"""", ""\""uJa\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""cancelDagRun"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagRunHistory,"[""\""YjHOREX6\"""", ""35""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagRunHistory"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagInfo,"[""\""QDqpjiyy0cG0wjQtlRv\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagInfo"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getSourceCode,"[""\""qURP2H\"""", ""\""onchmBIGh6Ho4l\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getSourceCode"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getDagInfo,"[""\""2Ctry7lYjM7Sqf6iKm\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getDagInfo"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.cancelDagRun,"[""\""54q0RdAZ331Qw\"""", ""\""bwki6pFZwSG\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""cancelDagRun"", ""encode"", ""logToOutput"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.getLastDagRunLog,"[""\""jKCdr\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""getLastDagRunLog"", ""encode"", ""logToOutput"", ""showInfoMessage"", ""showErrorMessage"", ""default"", ""fetch"", ""isRequest"", ""Request""]}",
Api.triggerDag,"[""\""JoY\"""", ""\""Rm4vD1tPv0plT8QDG\"""", ""\""PAM2bLVlM5YR\""""]","{""file:///Final%20Project/Logging/Backups/Airflow%20by%20NecatiARSLAN/ext-fuzz-b4ue8rb5/airflow-vscode-extension-main/dist/extension.js"": [""isApiParamsSet"", ""triggerDag"", ""logToOutput"", ""showWarningMessage""]}",
